Date,High,Low,Mid,Last,Bid,Ask,Volume
1/1/2017,968.2,945.01,966.995,966.61,966.62,967.37,7147.774423
8/1/2017,911.09,815,908.505,908.1,908.01,909,40623.60471
15/1/2017,838.54,800.03,817.345,815.85,816.84,817.85,12533.8969
22/1/2017,931.01,893.89,924.26,924.02,924.22,924.3,12173.61852
29/1/2017,923.99,915.01,919.555,919.43,919.47,919.64,3614.961338
5/2/2017,1040,1001.6,1030.9,1031.1,1030.7,1031.1,17134.09357
12/2/2017,1009,984.01,1000.15,1000,1000,1000.3,9318.501284
19/2/2017,1071.1,1053.1,1059.8,1059.8,1059.5,1060.1,7146.109405
26/2/2017,1189.9,1131.3,1153.2,1153,1153,1153.4,16261.82898
5/3/2017,1291.9,1240,1267.25,1267,1267,1267.5,15527.60449
12/3/2017,1196.6,1101.2,1172.75,1172.1,1172.5,1173,31280.63998
19/3/2017,1232.7,1166.8,1224.45,1224.4,1224.4,1224.5,18953.10118
26/3/2017,1006,950.1,956.35,956.4,956.3,956.4,34994.99109
2/4/2017,1118.2,1080.9,1109.65,1109.4,1109.5,1109.8,20407.29876
9/4/2017,1226.9,1179.4,1218.2,1218,1218,1218.4,16109.42701
16/4/2017,1217.6,1190,1215.15,1215.1,1215.1,1215.2,5119.110127
23/4/2017,1359,1336,1345.2,1345.3,1345.1,1345.3,7653.437917
30/4/2017,1443.7,1400.1,1441.65,1441.7,1441.6,1441.7,8531.03629
7/5/2017,1624.2,1575.1,1623.75,1623.6,1623.6,1623.9,12746.06897
14/5/2017,1852.4,1775.2,1815.85,1815.7,1815.7,1816,11353.81135
21/5/2017,2099.1,2000.1,2039.6,2037.9,2038.3,2040.9,17131.75096
28/5/2017,2194.4,1917.5,2030.85,2033,2030.5,2031.2,26069.90021
4/6/2017,2498,2365,2474.15,2476.2,2472.2,2476.1,11862.21294
11/6/2017,3003,2791,2934.85,2936.6,2932.6,2937.1,19846.74807
18/6/2017,2640,2420,2479.4,2479.1,2479,2479.8,20567.79054
25/6/2017,2595,2368.3,2464.95,2462.2,2462.8,2467.1,18250.09762
2/7/2017,2462.8,2302,2437.15,2437.2,2437.1,2437.2,11942.13818
9/7/2017,2555.7,2491,2496.95,2496.9,2496.9,2497,7242.909366
16/7/2017,2051.1,1826.2,1949.35,1950,1949.2,1949.5,53266.40299
23/7/2017,2877.5,2655,2729.85,2727.8,2729.3,2730.4,35204.68391
30/7/2017,2760,2582.9,2730.8,2730,2730.3,2731.3,34478.91048
6/8/2017,3315.5,3155.8,3251.45,3250.2,3250.4,3252.5,16512.75892
13/8/2017,4190,3810,4109.25,4109,4109,4109.5,48187.09885
20/8/2017,4199.9,4045.5,4139.95,4139.9,4139.9,4140,23204.37489
27/8/2017,4406.7,4304.4,4338,4338,4337.9,4338.1,11298.84715
3/9/2017,4699.9,4331,4562.95,4563,4562.9,4563,34156.0387
10/9/2017,4349.9,3974.1,4262.65,4262.7,4262.6,4262.7,45285.89734
17/9/2017,3782,3465.1,3701.1,3701,3700.9,3701.3,37076.77951
24/9/2017,3785.7,3615.5,3680.65,3681,3680.6,3680.7,21618.7665
1/10/2017,4424,4248.6,4406.7,4407,4406.4,4407,27208.64652
8/10/2017,4627.9,4416.3,4627.1,4627.1,4627,4627.2,30946.7142
15/10/2017,5877,5450,5715.95,5718.2,5715.9,5716,56987.01129
22/10/2017,6075.3,5705,5912.7,5910,5910,5915.4,49787.05345
29/10/2017,6345,5660,6184.55,6184.6,6184.5,6184.6,60176.6029
5/11/2017,7598,7272,7329.35,7321.8,7327.7,7331,44704.418
12/11/2017,6789,6163.2,6301.05,6302.7,6299.2,6302.9,72841.28595
19/11/2017,7867.8,7412,7773.25,7773.3,7773.2,7773.3,40707.79312
26/11/2017,8352.1,7871,8191.3,8191.6,8190.9,8191.7,42835.27412
3/12/2017,11190,10621,10876.5,10876,10876,10877,49703.48541
10/12/2017,16300,13010,14660.5,14660,14660,14661,77819.74691
17/12/2017,19550,17050,19209,19210,19208,19210,48267.89256
24/12/2017,14999,12521,14035.5,14036,14035,14036,59927.05101
31/12/2017,14417,11651,12380.5,12385,12380,12381,75442.70968
7/1/2018,17252,16251,17175.5,17175,17175,17176,29599.44867
14/1/2018,14580,13750,14192,14197,14191,14193,28991.09666
21/1/2018,13017,11407,12731.5,12731,12731,12732,46301.04501
28/1/2018,12190,11376,11849.5,11849,11849,11850,29746.36214
4/2/2018,9410,7809,8248.6,8249,8248.2,8249,74255.84163
11/2/2018,8572,7851,8069.95,8069,8069,8070.9,51740.35142
18/2/2018,11250,10122,10462,10460,10461,10463,69489.37828
25/2/2018,9840,9280.4,9538.65,9534.5,9536.3,9541,30710.7066
4/3/2018,11549,11050,11534.5,11534,11534,11535,27917.26145
11/3/2018,9729,8428,9483.6,9485.2,9482.1,9485.1,70288.12382
18/3/2018,8300,7240,8148.95,8147,8148.8,8149.1,87116.34669
25/3/2018,8674.4,8364.8,8480.35,8481,8479.9,8480.8,30078.99479
1/4/2018,7035.1,6425.1,6806.05,6806.1,6806,6806.1,54592.34005
